cohort,submission_n,submitted_utc,essay_blank,essay_chars,T1_everyday_coffee,T2_clarity_pace,T3_visual_immersion,T4_affect_stigma,T5_concepts_prior,T6_limits_friction,theme_count,themes_flagged,needs_manual_review
MQ,2,2026-03-11 06:06:16 UTC,0,443,0,1,0,1,0,0,2,T2_clarity_pace;T4_affect_stigma,0
MQ,3,2026-03-10 19:34:20 UTC,0,668,1,1,1,0,0,0,3,T1_everyday_coffee;T2_clarity_pace;T3_visual_immersion,0
MQ,4,2026-03-14 08:12:16 UTC,0,401,1,0,1,0,0,0,2,T1_everyday_coffee;T3_visual_immersion,0
MQ,5,2026-03-11 18:19:07 UTC,0,387,1,0,1,1,1,0,4,T1_everyday_coffee;T3_visual_immersion;T4_affect_stigma;T5_concepts_prior,0
MQ,6,2026-03-10 20:36:15 UTC,0,589,0,0,1,0,1,0,2,T3_visual_immersion;T5_concepts_prior,0
MQ,7,2026-03-11 05:21:25 UTC,0,305,1,0,0,1,0,0,2,T1_everyday_coffee;T4_affect_stigma,0
MQ,8,2026-03-19 23:52:58 UTC,0,25,0,0,0,0,0,0,0,,1
MQ,9,2026-03-11 22:15:53 UTC,0,273,0,1,0,1,0,0,2,T2_clarity_pace;T4_affect_stigma,0
MQ,10,2026-03-10 23:40:22 UTC,0,264,0,0,1,0,0,0,1,T3_visual_immersion,0
MQ,11,2026-03-12 23:38:43 UTC,0,170,1,0,1,0,0,0,2,T1_everyday_coffee;T3_visual_immersion,0
MQ,12,2026-03-11 07:24:16 UTC,0,320,0,0,1,0,1,0,2,T3_visual_immersion;T5_concepts_prior,0
MQ,13,2026-03-13 03:47:15 UTC,0,255,0,0,0,1,0,0,1,T4_affect_stigma,0
MQ,14,2026-03-14 17:01:42 UTC,0,210,1,0,0,0,0,0,1,T1_everyday_coffee,0
MQ,15,2026-03-12 21:45:12 UTC,0,369,1,1,1,0,1,0,4,T1_everyday_coffee;T2_clarity_pace;T3_visual_immersion;T5_concepts_prior,0
MQ,16,2026-03-10 19:24:03 UTC,0,164,1,0,0,0,0,0,1,T1_everyday_coffee,0
MQ,17,2026-03-11 19:11:39 UTC,0,180,0,0,0,1,0,1,2,T4_affect_stigma;T6_limits_friction,0
MQ,18,2026-03-12 03:59:05 UTC,0,97,0,1,0,0,0,0,1,T2_clarity_pace,0
MQ,20,2026-03-12 17:30:42 UTC,0,104,1,0,0,0,0,0,1,T1_everyday_coffee,0
MQ,21,2026-03-19 19:39:17 UTC,0,70,1,0,0,0,0,0,1,T1_everyday_coffee,0
MQ,22,2026-03-13 01:43:36 UTC,0,248,0,0,0,1,0,0,1,T4_affect_stigma,0
MQ,23,2026-03-12 17:21:54 UTC,0,404,0,1,0,1,0,0,2,T2_clarity_pace;T4_affect_stigma,0
MQ,24,2026-03-14 07:16:34 UTC,0,133,1,0,0,0,0,0,1,T1_everyday_coffee,0
MQ,25,2026-03-11 06:52:47 UTC,0,34,0,0,1,0,0,0,1,T3_visual_immersion,0
MQ,26,2026-03-17 23:04:06 UTC,0,219,0,0,0,0,0,0,0,,1
MQ,27,2026-03-16 10:06:07 UTC,0,101,0,1,1,0,0,0,2,T2_clarity_pace;T3_visual_immersion,0
MQ,28,2026-03-10 21:33:48 UTC,0,416,1,0,0,0,0,0,1,T1_everyday_coffee,0
MQ,29,2026-03-10 19:24:10 UTC,0,96,1,1,0,0,0,0,2,T1_everyday_coffee;T2_clarity_pace,0
MQ,30,2026-03-12 18:53:22 UTC,0,491,1,1,0,0,1,0,3,T1_everyday_coffee;T2_clarity_pace;T5_concepts_prior,0
MQ,31,2026-03-12 00:08:21 UTC,0,130,1,0,0,0,0,0,1,T1_everyday_coffee,0
MQ,32,2026-03-11 03:38:34 UTC,0,347,0,1,1,0,1,0,3,T2_clarity_pace;T3_visual_immersion;T5_concepts_prior,0
MQ,33,2026-03-14 05:54:40 UTC,0,308,0,1,0,1,0,0,2,T2_clarity_pace;T4_affect_stigma,0
MQ,34,2026-03-10 23:34:26 UTC,0,267,1,0,0,0,0,0,1,T1_everyday_coffee,0
